time_s,throttle_norm,rudder_norm,speed_mps,yaw_rate_rps,segment
286.779698,0.000000,0.000000,0.136176,0.065414,1
286.879698,0.000000,0.000000,0.103267,0.001131,1
286.979698,0.000000,0.000000,0.067218,-0.111041,1
287.079698,0.000000,0.000000,0.066700,-0.216371,1
287.179698,0.000000,0.000000,0.089861,-0.297822,1
287.279698,0.000000,0.000000,0.126037,-0.346807,1
287.379698,0.000000,0.000000,0.170891,-0.397944,1
287.479698,0.000000,0.000000,0.213970,-0.454921,1
287.579698,0.000000,0.000000,0.256603,-0.459652,1
287.679698,0.000000,0.000000,0.259108,-0.460670,1
287.779698,0.000000,0.000000,0.251571,-0.430680,1
287.879698,0.000000,0.000000,0.286413,-0.359767,1
287.979698,0.000000,0.000000,0.331884,-0.289850,1
288.079698,0.000000,0.000000,0.289381,-0.247963,1
288.179698,0.000000,0.000000,0.224813,-0.230333,1
288.279698,0.000000,0.000000,0.186359,-0.219043,1
288.379698,0.000000,0.000000,0.154460,-0.198318,1
288.479698,0.000000,0.000000,0.172719,-0.183357,1
288.579698,0.000000,0.000000,0.203563,-0.188680,1
288.679698,0.000000,0.000000,0.204300,-0.194431,1
288.779698,0.000000,0.000000,0.197489,-0.179527,1
288.879698,0.000000,0.000000,0.208178,-0.156469,1
288.979698,0.000000,0.000000,0.223260,-0.142791,1
289.079698,0.000000,0.000000,0.213731,-0.134402,1
289.179698,0.000000,0.000000,0.198006,-0.121515,1
289.279698,0.000000,0.000000,0.180644,-0.102830,1
289.379698,0.000000,0.000000,0.162874,-0.142269,1
289.479698,0.000000,0.000000,0.173626,-0.268046,1
289.579698,0.000000,0.000000,0.191547,-0.352596,1
289.679698,0.000000,0.000000,0.168802,-0.377992,1
289.779698,0.000000,0.000000,0.135884,-0.392319,1
289.879698,0.000000,0.000000,0.147568,-0.407525,1
289.979698,0.000000,0.000000,0.170415,-0.394484,1
290.079698,0.000000,0.000000,0.186249,-0.357943,1
290.179698,0.000000,0.000000,0.200322,-0.305056,1
290.279698,0.000000,0.000000,0.179853,-0.276500,1
290.379698,0.000000,0.000000,0.150706,-0.286368,1
290.479698,0.000000,0.000000,0.128083,-0.286040,1
290.579698,0.000000,0.000000,0.107100,-0.236452,1
290.679698,0.000000,0.000000,0.096800,-0.207773,1
290.779698,0.000000,0.000000,0.089188,-0.170909,1
290.879698,0.000000,0.000000,0.074110,-0.116386,1
290.979698,0.000000,0.000000,0.057166,-0.018149,1
291.079698,0.000000,0.000000,0.058016,0.042193,1
291.179698,0.000000,0.000000,0.063345,0.045833,1
291.279698,0.000000,0.000000,0.081443,0.031901,1
291.379698,0.000000,0.000000,0.102740,0.028805,1
291.479698,0.000000,0.000000,0.115878,-0.078251,1
291.579698,0.000000,0.000000,0.126973,-0.225780,1
291.679698,0.000000,0.000000,0.105614,-0.293767,1
291.779698,0.000000,0.000000,0.076152,-0.301265,1
291.879698,0.000000,0.000000,0.113593,-0.303720,1
291.979698,0.000000,0.000000,0.167844,-0.343355,1
292.079698,0.000000,0.000000,0.184840,-0.384483,1
292.179698,0.000000,0.000000,0.176985,-0.405267,1
292.279698,0.000000,0.000000,0.159568,-0.439255,1
292.379698,0.000000,0.000000,0.139758,-0.468336,1
292.479698,0.000000,0.000000,0.183908,-0.452671,1
292.579698,0.000000,0.000000,0.244060,-0.348402,1
