time_s,throttle_norm,rudder_norm,speed_mps,yaw_rate_rps
41.679698,0.000000,0.000000,0.094894,0.134524
41.779698,0.000000,0.000000,0.090227,0.101792
41.879698,0.000000,0.000000,0.083753,0.083544
41.979698,0.000000,0.000000,0.076076,0.093050
42.079698,0.000000,0.000000,0.064421,0.100070
42.179698,0.000000,0.000000,0.050106,0.111268
42.279698,0.000000,0.000000,0.058976,0.142585
42.379698,0.000000,0.000000,0.083282,0.169592
42.479698,0.000000,0.000000,0.097350,0.153015
42.579698,0.000000,0.000000,0.104590,0.105382
42.679698,0.000000,0.000000,0.092702,0.098028
42.779698,0.000000,0.000000,0.076014,0.107013
42.879698,0.000000,0.000000,0.076525,0.090674
42.979698,0.000000,0.000000,0.088499,0.087593
43.079698,0.000000,0.000000,0.080188,0.133944
43.179698,0.000000,0.000000,0.058296,0.166869
43.279698,0.000000,0.000000,0.065249,0.149701
43.379698,0.000000,0.000000,0.091512,0.113041
43.479698,0.000000,0.000000,0.096046,0.087130
43.579698,0.000000,0.000000,0.086121,0.087623
43.679698,0.000000,0.000000,0.075773,0.097895
43.779698,0.000000,0.000000,0.065142,0.093972
43.879698,0.000000,0.000000,0.074405,0.104880
43.979698,0.000000,0.000000,0.088665,0.137661
44.079698,0.000000,0.000000,0.076512,0.151400
44.179698,0.000000,0.000000,0.057729,0.121073
44.279698,0.000000,0.000000,0.080852,0.075013
44.379698,0.000000,0.000000,0.131949,0.065917
44.479698,0.000000,0.000000,0.124415,0.093436
44.579698,0.000000,0.000000,0.077761,0.092833
44.679698,0.000000,0.000000,0.085043,0.086732
44.779698,0.000000,0.000000,0.128303,0.117617
44.879698,0.000000,0.000000,0.118168,0.145313
44.979698,0.000000,0.000000,0.072452,0.116066
45.079698,0.000000,0.000000,0.078759,0.066211
45.179698,0.000000,0.000000,0.119804,0.060877
45.279698,0.000000,0.000000,0.122826,0.086182
45.379698,0.000000,0.000000,0.100467,0.092776
45.479698,0.000000,0.000000,0.079339,0.089499
45.579698,0.000000,0.000000,0.059033,0.111083
45.679698,0.000000,0.000000,0.067505,0.126513
45.779698,0.000000,0.000000,0.095157,0.109009
45.879698,0.000000,0.000000,0.103178,0.081840
45.979698,0.000000,0.000000,0.098087,0.063557
46.079698,0.000000,0.000000,0.104020,0.068875
46.179698,0.000000,0.000000,0.117324,0.075561
46.279698,0.000000,0.000000,0.114307,0.084249
46.379698,0.000000,0.000000,0.100422,0.101324
46.479698,0.000000,0.000000,0.096193,0.106315
46.579698,0.000000,0.000000,0.098401,0.091997
46.679698,0.000000,0.000000,0.119133,0.068450
46.779698,0.000000,0.000000,0.144512,0.041777
46.879698,0.089956,0.000000,0.124272,0.041988
46.979698,0.124966,0.000000,0.092584,0.064364
47.079698,0.142480,0.000000,0.094170,0.075092
47.179698,0.162473,0.000000,0.117946,0.074872
47.279698,0.174990,0.000000,0.143695,0.087761
47.379698,0.179995,0.000000,0.170759,0.088085
47.479698,0.182497,0.000000,0.206259,0.088972
47.579698,0.184996,0.000000,0.243885,0.082866
47.679698,0.194996,0.000000,0.306199,0.069794
47.779698,0.199997,0.000000,0.384983,0.081855
47.879698,0.202498,0.000000,0.462813,0.131134
47.979698,0.204997,0.000000,0.540008,0.167146
