row_index,time_s,throttle_norm,rudder_norm,measured_speed_mps,measured_yaw_rate_rps,one_step_speed_mps,one_step_yaw_rate_rps,recursive_speed_mps,recursive_yaw_rate_rps
383,38.37969970703125,0.0,0.0,0.1718599945306778,0.10584600269794464,0.1548188328742981,0.11610838025808334,0.12242371588945389,0.04991386458277702
384,38.479698181152344,0.0,0.0,0.15580199658870697,0.10683000087738037,0.15507565438747406,0.0983673483133316,0.12174778431653976,0.049454234540462494
385,38.57969665527344,0.0,0.0,0.13746899366378784,0.11547700315713882,0.143140971660614,0.11517046391963959,0.1210915669798851,0.04899907484650612
386,38.6796989440918,0.0,0.0,0.11883699893951416,0.12188199907541275,0.1334417462348938,0.11911846697330475,0.12045449763536453,0.048548225313425064
387,38.77969741821289,0.0,0.0,0.10000599920749664,0.1343580037355423,0.12319318950176239,0.11707885563373566,0.11983594298362732,0.048101846128702164
388,38.87969970703125,0.0,0.0,0.09509500116109848,0.1408730000257492,0.10766560584306717,0.13388951122760773,0.1192353293299675,0.047660209238529205
389,38.979698181152344,0.0,0.0,0.09945700317621231,0.13458099961280823,0.1104595959186554,0.13008013367652893,0.11865203082561493,0.04722342640161514
390,39.07969665527344,0.0,0.0,0.11016000062227249,0.12082699686288834,0.10949629545211792,0.11977139860391617,0.11808549612760544,0.04679137095808983
391,39.1796989440918,0.0,0.0,0.12509199976921082,0.10928700119256973,0.1143622025847435,0.11229371279478073,0.11753527075052261,0.04636384919285774
392,39.27969741821289,0.0,0.0,0.12898600101470947,0.10336100310087204,0.12303246557712555,0.10967911034822464,0.11700092256069183,0.0459408201277256
393,39.37969970703125,0.0,0.0,0.1255279928445816,0.10050000250339508,0.11621327698230743,0.10790632665157318,0.1164819598197937,0.04552239552140236
394,39.479698181152344,0.0,0.0,0.11590900272130966,0.10963600128889084,0.11585287749767303,0.10411141067743301,0.11597778648138046,0.045108720660209656
395,39.57969665527344,0.0,0.0,0.10218200087547302,0.12600800395011902,0.10869818925857544,0.11776211112737656,0.1154879629611969,0.04469980299472809
396,39.6796989440918,0.0,0.0,0.09405100345611572,0.14203999936580658,0.099466472864151,0.1272137314081192,0.11501209437847137,0.044295534491539
397,39.77969741821289,0.0,0.0,0.08965100347995758,0.14761100709438324,0.09940940141677856,0.13497719168663025,0.11454979330301285,0.04389580711722374
398,39.87969970703125,0.0,0.0,0.10263299942016602,0.14081600308418274,0.09511938691139221,0.1324925422668457,0.1141006276011467,0.043500617146492004
399,39.979698181152344,0.0,0.0,0.11997199803590775,0.1272680014371872,0.11253327131271362,0.12531587481498718,0.11366421729326248,0.04311002790927887
400,40.07969665527344,0.0,0.0,0.14073699712753296,0.11030899733304977,0.1180432140827179,0.118266761302948,0.11324011534452438,0.04272408038377762
401,40.1796989440918,0.0,0.0,0.16378499567508698,0.09217999875545502,0.13338622450828552,0.1071266457438469,0.11282798647880554,0.04234274476766586
